,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Survived
721,3,17.0,1,0,7.0542,1,0,1,0
256,1,,0,0,79.2,0,0,0,1
225,3,22.0,0,0,9.35,1,0,1,0
86,3,16.0,1,3,34.375,1,0,1,0
290,1,26.0,0,0,78.85,0,0,1,1
495,3,,0,0,14.4583,1,0,0,0
288,2,42.0,0,0,13.0,1,0,1,1
64,1,,0,0,27.7208,1,0,0,0
864,2,24.0,0,0,13.0,1,0,1,0
31,1,,1,0,146.5208,0,0,0,1
814,3,30.5,0,0,8.05,1,0,1,0
661,3,40.0,0,0,7.225,1,0,0,0
29,3,,0,0,7.8958,1,0,1,0
15,2,55.0,0,0,16.0,0,0,1,1
504,1,16.0,0,0,86.5,0,0,1,1
350,3,23.0,0,0,9.225,1,0,1,0
419,3,10.0,0,2,24.15,0,0,1,0
405,2,34.0,1,0,21.0,1,0,1,0
239,2,33.0,0,0,12.275,1,0,1,0
546,2,19.0,1,0,26.0,0,0,1,1
208,3,16.0,0,0,7.75,0,1,0,1
148,2,36.5,0,2,26.0,1,0,1,0
677,3,18.0,0,0,9.8417,0,0,1,1
769,3,32.0,0,0,8.3625,1,0,1,0
197,3,42.0,0,1,8.4042,1,0,1,0
389,2,17.0,0,0,12.0,0,0,0,1
478,3,22.0,0,0,7.5208,1,0,1,0
874,2,28.0,1,0,24.0,0,0,0,1
564,3,,0,0,8.05,0,0,1,0
512,1,36.0,0,0,26.2875,1,0,1,1
880,2,25.0,0,1,26.0,0,0,1,1
860,3,41.0,2,0,14.1083,1,0,1,0
802,1,11.0,1,2,120.0,1,0,1,1
824,3,2.0,4,1,39.6875,1,0,1,0
7,3,2.0,3,1,21.075,1,0,1,0
70,2,32.0,0,0,10.5,1,0,1,0
85,3,33.0,3,0,15.85,0,0,1,1
681,1,27.0,0,0,76.7292,1,0,0,1
421,3,21.0,0,0,7.7333,1,1,0,0
121,3,,0,0,8.05,1,0,1,0
211,2,35.0,0,0,21.0,0,0,1,1
407,2,3.0,1,1,18.75,1,0,1,1
457,1,,1,0,51.8625,0,0,1,1
161,2,40.0,0,0,15.75,0,0,1,1
293,3,24.0,0,0,8.85,0,0,1,0
24,3,8.0,3,1,21.075,0,0,1,0
480,3,9.0,5,2,46.9,1,0,1,0
280,3,65.0,0,0,7.75,1,1,0,0
169,3,28.0,0,0,56.4958,1,0,1,0
171,3,4.0,4,1,29.125,1,1,0,0
549,2,8.0,1,1,36.75,1,0,1,1
227,3,20.5,0,0,7.25,1,0,1,0
593,3,,0,2,7.75,0,1,0,0
18,3,31.0,1,0,18.0,0,0,1,0
676,3,24.5,0,0,8.05,1,0,1,0
841,2,16.0,0,0,10.5,1,0,1,0
259,2,50.0,0,1,26.0,0,0,1,1
460,1,48.0,0,0,26.55,1,0,1,1
78,2,0.83,0,2,29.0,1,0,1,1
90,3,29.0,0,0,8.05,1,0,1,0
496,1,54.0,1,0,78.2667,0,0,0,1
416,2,34.0,1,1,32.5,0,0,1,1
331,1,45.5,0,0,28.5,1,0,1,0
13,3,39.0,1,5,31.275,1,0,1,0
399,2,28.0,0,0,12.65,0,0,1,1
605,3,36.0,1,0,15.55,1,0,1,0
40,3,40.0,1,0,9.475,0,0,1,0
882,3,22.0,0,0,10.5167,0,0,1,0
173,3,21.0,0,0,7.925,1,0,1,0
580,2,25.0,1,1,30.0,0,0,1,1
253,3,30.0,1,0,16.1,1,0,1,0
798,3,30.0,0,0,7.2292,1,0,0,0
210,3,24.0,0,0,7.05,1,0,1,0
743,3,24.0,1,0,16.1,1,0,1,0
468,3,,0,0,7.725,1,1,0,0
133,2,29.0,1,0,26.0,0,0,1,1
625,1,61.0,0,0,32.3208,1,0,1,0
391,3,21.0,0,0,7.7958,1,0,1,1
712,1,48.0,1,0,52.0,1,0,1,1
559,3,36.0,1,0,17.4,0,0,1,1
232,2,59.0,0,0,13.5,1,0,1,0
778,3,,0,0,7.7375,1,1,0,0
420,3,,0,0,7.8958,1,0,0,0
332,1,38.0,0,1,153.4625,1,0,1,0
560,3,,0,0,7.75,1,1,0,0
823,3,27.0,0,1,12.475,0,0,1,1
867,1,31.0,0,0,50.4958,1,0,1,0
330,3,,2,0,23.25,0,1,0,1
642,3,2.0,3,2,27.9,0,0,1,0
156,3,16.0,0,0,7.7333,0,1,0,1
53,2,29.0,1,0,26.0,0,0,1,1
797,3,31.0,0,0,8.6833,0,0,1,1
663,3,36.0,0,0,7.4958,1,0,1,0
514,3,24.0,0,0,7.4958,1,0,1,0
855,3,18.0,0,1,9.35,0,0,1,1
11,1,58.0,0,0,26.55,0,0,1,1
456,1,65.0,0,0,26.55,1,0,1,0
219,2,30.0,0,0,10.5,1,0,1,0
77,3,,0,0,8.05,1,0,1,0
382,3,32.0,0,0,7.925,1,0,1,0
394,3,24.0,0,2,16.7,0,0,1,1
771,3,48.0,0,0,7.8542,1,0,1,0
403,3,28.0,1,0,15.85,1,0,1,0
796,1,49.0,0,0,25.9292,0,0,1,1
477,3,29.0,1,0,7.0458,1,0,1,0
558,1,39.0,1,1,79.65,0,0,1,1
410,3,,0,0,7.8958,1,0,1,0
327,2,36.0,0,0,13.0,0,0,1,1
351,1,,0,0,35.0,1,0,1,0
728,2,25.0,1,0,26.0,1,0,1,0
537,1,30.0,0,0,106.425,0,0,0,1
390,1,36.0,1,2,120.0,1,0,1,1
751,3,6.0,0,1,12.475,1,0,1,1
745,1,70.0,1,1,71.0,1,0,1,0
668,3,43.0,0,0,8.05,1,0,1,0
868,3,,0,0,9.5,1,0,1,0
345,2,24.0,0,0,13.0,0,0,1,1
566,3,19.0,0,0,7.8958,1,0,1,0
574,3,16.0,0,0,8.05,1,0,1,0
571,1,53.0,2,0,51.4792,0,0,1,1
544,1,50.0,1,0,106.425,1,0,0,0
235,3,,0,0,7.55,0,0,1,0
628,3,26.0,0,0,7.8958,1,0,1,0
116,3,70.5,0,0,7.75,1,1,0,0
296,3,23.5,0,0,7.2292,1,0,0,0
639,3,,1,0,16.1,1,0,1,0
811,3,39.0,0,0,24.15,1,0,1,0
97,1,23.0,0,1,63.3583,1,0,0,1
334,1,,1,0,133.65,0,0,1,1
370,1,25.0,1,0,55.4417,1,0,0,1
679,1,36.0,0,1,512.3292,1,0,0,1
739,3,,0,0,7.8958,1,0,1,0
710,1,24.0,0,0,49.5042,0,0,0,1
175,3,18.0,1,1,7.8542,1,0,1,0
695,2,52.0,0,0,13.5,1,0,1,0
244,3,30.0,0,0,7.225,1,0,0,0
473,2,23.0,0,0,13.7917,0,0,0,1
837,3,,0,0,8.05,1,0,1,0
536,1,45.0,0,0,26.55,1,0,1,0
705,2,39.0,0,0,26.0,1,0,1,0
30,1,40.0,0,0,27.7208,1,0,0,0
427,2,19.0,0,0,26.0,0,0,1,1
749,3,31.0,0,0,7.75,1,1,0,0
206,3,32.0,1,0,15.85,1,0,1,0
229,3,,3,1,25.4667,0,0,1,0
353,3,25.0,1,0,17.8,1,0,1,0
481,2,,0,0,0.0,1,0,1,0
115,3,21.0,0,0,7.925,1,0,1,0
168,1,,0,0,25.925,1,0,1,0
119,3,2.0,4,2,31.275,0,0,1,0
747,2,30.0,0,0,13.0,0,0,1,1
444,3,,0,0,8.1125,1,0,1,1
310,1,24.0,0,0,83.1583,0,0,0,1
790,3,,0,0,7.75,1,1,0,0
842,1,30.0,0,0,31.0,0,0,0,1
436,3,21.0,2,2,34.375,0,0,1,0
154,3,,0,0,7.3125,1,0,1,0
278,3,7.0,4,1,29.125,1,1,0,0
647,1,56.0,0,0,35.5,1,0,0,1
59,3,11.0,5,2,46.9,1,0,1,0
576,2,34.0,0,0,13.0,0,0,1,1
876,3,20.0,0,0,9.8458,1,0,1,0
800,2,34.0,0,0,13.0,1,0,1,0
414,3,44.0,0,0,7.925,1,0,1,1
513,1,54.0,1,0,59.4,0,0,0,1
366,1,60.0,1,0,75.25,0,0,0,1
241,3,,1,0,15.5,0,1,0,1
417,2,18.0,0,2,13.0,0,0,1,1
73,3,26.0,1,0,14.4542,1,0,0,0
678,3,43.0,1,6,46.9,0,0,1,0
400,3,39.0,0,0,7.925,1,0,1,1
516,2,34.0,0,0,10.5,0,0,1,1
851,3,74.0,0,0,7.775,1,0,1,0
254,3,41.0,0,2,20.2125,0,0,1,0
14,3,14.0,0,0,7.8542,0,0,1,0
520,1,30.0,0,0,93.5,0,0,1,1
316,2,24.0,1,0,26.0,0,0,1,1
674,2,,0,0,0.0,1,0,1,0
383,1,35.0,1,0,52.0,0,0,1,1
551,2,27.0,0,0,26.0,1,0,1,0
349,3,42.0,0,0,8.6625,1,0,1,0
428,3,,0,0,7.75,1,1,0,0
852,3,9.0,1,1,15.2458,0,0,0,0
724,1,27.0,1,0,53.1,1,0,1,1
52,1,49.0,1,0,76.7292,0,0,0,1
612,3,,1,0,15.5,0,1,0,1
371,3,18.0,1,0,6.4958,1,0,1,0
32,3,,0,0,7.75,0,1,0,1
725,3,20.0,0,0,8.6625,1,0,1,0
733,2,23.0,0,0,13.0,1,0,1,0
303,2,,0,0,12.35,0,1,0,1
214,3,,1,0,7.75,1,1,0,0
535,2,7.0,0,2,26.25,0,0,1,1
655,2,24.0,2,0,73.5,1,0,1,0
863,3,,8,2,69.55,0,0,1,0
74,3,32.0,0,0,56.4958,1,0,1,1
435,1,14.0,1,2,120.0,0,0,1,1
88,1,23.0,3,2,263.0,0,0,1,1
87,3,,0,0,8.05,1,0,1,0
503,3,37.0,0,0,9.5875,0,0,1,0
9,2,14.0,1,0,30.0708,0,0,0,1
883,2,28.0,0,0,10.5,1,0,1,0
34,1,28.0,1,0,82.1708,1,0,0,0
525,3,40.5,0,0,7.75,1,1,0,0
738,3,,0,0,7.8958,1,0,1,0
404,3,20.0,0,0,8.6625,0,0,1,0
718,3,,0,0,15.5,1,1,0,0
437,2,24.0,2,3,18.75,0,0,1,1
603,3,44.0,0,0,8.05,1,0,1,0
442,3,25.0,1,0,7.775,1,0,1,0
671,1,31.0,1,0,52.0,1,0,1,0
429,3,32.0,0,0,8.05,1,0,1,1
266,3,16.0,4,1,39.6875,1,0,1,0
831,2,0.83,1,1,18.75,1,0,1,1
84,2,17.0,0,0,10.5,0,0,1,1
765,1,51.0,1,0,77.9583,0,0,1,1
485,3,,3,1,25.4667,0,0,1,0
682,3,20.0,0,0,9.225,1,0,1,0
734,2,23.0,0,0,13.0,1,0,1,0
285,3,33.0,0,0,8.6625,1,0,0,0
136,1,19.0,0,2,26.2833,0,0,1,1
299,1,50.0,0,1,247.5208,0,0,0,1
885,3,39.0,0,5,29.125,0,1,0,0
138,3,16.0,0,0,9.2167,1,0,1,0
510,3,29.0,0,0,7.75,1,1,0,1
834,3,18.0,0,0,8.3,1,0,1,0
636,3,32.0,0,0,7.925,1,0,1,0
822,1,38.0,0,0,0.0,1,0,1,0
810,3,26.0,0,0,7.8875,1,0,1,0
170,1,61.0,0,0,33.5,1,0,1,0
561,3,40.0,0,0,7.8958,1,0,1,0
590,3,35.0,0,0,7.125,1,0,1,0
33,2,66.0,0,0,10.5,1,0,1,0
105,3,28.0,0,0,7.8958,1,0,1,0
685,2,25.0,1,2,41.5792,1,0,0,0
49,3,18.0,1,0,17.8,0,0,1,0
613,3,,0,0,7.75,1,1,0,0
160,3,44.0,0,1,16.1,1,0,1,0
498,1,25.0,1,2,151.55,0,0,1,0
846,3,,8,2,69.55,1,0,1,0
736,3,48.0,1,3,34.375,0,0,1,0
95,3,,0,0,8.05,1,0,1,0
347,3,,1,0,16.1,0,0,1,1
234,2,24.0,0,0,10.5,1,0,1,0
459,3,,0,0,7.75,1,1,0,0
706,2,45.0,0,0,13.5,0,0,1,1
249,2,54.0,1,0,26.0,1,0,1,0
461,3,34.0,0,0,8.05,1,0,1,0
395,3,22.0,0,0,7.7958,1,0,1,0
187,1,45.0,0,0,26.55,1,0,1,1
532,3,17.0,1,1,7.2292,1,0,0,0
714,2,52.0,0,0,13.0,1,0,1,0
704,3,26.0,1,0,7.8542,1,0,1,0
455,3,29.0,0,0,7.8958,1,0,0,1
6,1,54.0,0,0,51.8625,1,0,1,0
633,1,,0,0,0.0,1,0,1,0
106,3,21.0,0,0,7.65,0,0,1,1
850,3,4.0,4,2,31.275,1,0,1,0
193,2,3.0,1,1,26.0,1,0,1,1
839,1,,0,0,29.7,1,0,0,1
379,3,19.0,0,0,7.775,1,0,1,0
279,3,35.0,1,1,20.25,0,0,1,1
309,1,30.0,0,0,56.9292,0,0,0,1
768,3,,1,0,24.15,1,1,0,0
306,1,,0,0,110.8833,0,0,0,1
335,3,,0,0,7.8958,1,0,1,0
799,3,30.0,1,1,24.15,0,0,1,0
732,2,,0,0,0.0,1,0,1,0
555,1,62.0,0,0,26.55,1,0,1,0
729,3,25.0,1,0,7.925,0,0,1,0
130,3,33.0,0,0,7.8958,1,0,0,0
845,3,42.0,0,0,7.55,1,0,1,0
56,2,21.0,0,0,10.5,0,0,1,1
573,3,,0,0,7.75,0,1,0,1
708,1,22.0,0,0,151.55,0,0,1,1
12,3,20.0,0,0,8.05,1,0,1,0
89,3,24.0,0,0,8.05,1,0,1,0
265,2,36.0,0,0,10.5,1,0,1,0
521,3,22.0,0,0,7.8958,1,0,1,0
598,3,,0,0,7.225,1,0,0,0
145,2,19.0,1,1,36.75,1,0,1,0
19,3,,0,0,7.225,0,0,0,1
230,1,35.0,1,0,83.475,0,0,1,1
412,1,33.0,1,0,90.0,0,1,0,1
508,3,28.0,0,0,22.525,1,0,1,0
180,3,,8,2,69.55,0,0,1,0
191,2,19.0,0,0,13.0,1,0,1,0
538,3,,0,0,14.5,1,0,1,0
562,2,28.0,0,0,13.5,1,0,1,0
378,3,20.0,0,0,4.0125,1,0,0,0
527,1,,0,0,221.7792,1,0,1,0
317,2,54.0,0,0,14.0,1,0,1,0
637,2,31.0,1,1,26.25,1,0,1,0
792,3,,8,2,69.55,0,0,1,0
153,3,40.5,0,2,14.5,1,0,1,0
277,2,,0,0,0.0,1,0,1,0
534,3,30.0,0,0,8.6625,0,0,1,0
720,2,6.0,0,1,33.0,0,0,1,1
488,3,30.0,0,0,8.05,1,0,1,0
231,3,29.0,0,0,7.775,1,0,1,0
388,3,,0,0,7.7292,1,1,0,0
507,1,,0,0,26.55,1,0,1,1
858,3,24.0,0,3,19.2583,0,0,0,1
150,2,51.0,0,0,12.525,1,0,1,0
755,2,0.67,1,1,14.5,1,0,1,1
584,3,,0,0,8.7125,1,0,0,0
638,3,41.0,0,5,39.6875,0,0,1,0
763,1,36.0,1,2,120.0,0,0,1,1
263,1,40.0,0,0,0.0,1,0,1,0
881,3,33.0,0,0,7.8958,1,0,1,0
871,1,47.0,1,1,52.5542,0,0,1,1
157,3,30.0,0,0,8.05,1,0,1,0
338,3,45.0,0,0,8.05,1,0,1,1
666,2,25.0,0,0,13.0,1,0,1,0
531,3,,0,0,7.2292,1,0,0,0
295,1,,0,0,27.7208,1,0,0,0
186,3,,1,0,15.5,0,1,0,1
269,1,35.0,0,0,135.6333,0,0,1,1
723,2,50.0,0,0,13.0,1,0,1,0
245,1,44.0,2,0,90.0,1,1,0,0
764,3,16.0,0,0,7.775,1,0,1,0
271,3,25.0,0,0,0.0,1,0,1,1
409,3,,3,1,25.4667,0,0,1,0
284,1,,0,0,26.0,1,0,1,0
700,1,18.0,1,0,227.525,0,0,0,1
202,3,34.0,0,0,6.4958,1,0,1,0
384,3,,0,0,7.8958,1,0,1,0
26,3,,0,0,7.225,1,0,0,0
567,3,29.0,0,4,21.075,0,0,1,0
75,3,25.0,0,0,7.65,1,0,1,0
467,1,56.0,0,0,26.55,1,0,1,0
809,1,33.0,1,0,53.1,0,0,1,1
788,3,1.0,1,2,20.575,1,0,1,1
125,3,12.0,1,0,11.2417,1,0,0,1
585,1,18.0,0,2,79.65,0,0,1,1
519,3,32.0,0,0,7.8958,1,0,1,0
746,3,16.0,1,1,20.25,1,0,1,0
635,2,28.0,0,0,13.0,0,0,1,1
93,3,26.0,1,2,20.575,1,0,1,0
843,3,34.5,0,0,6.4375,1,0,0,0
372,3,19.0,0,0,8.05,1,0,1,0
487,1,58.0,0,0,29.7,1,0,0,0
117,2,29.0,1,0,21.0,1,0,1,0
274,3,,0,0,7.75,0,1,0,1
572,1,36.0,0,0,26.3875,1,0,1,1
667,3,,0,0,7.775,1,0,1,0
183,2,1.0,2,1,39.0,1,0,1,1
793,1,,0,0,30.6958,1,0,0,0
4,3,35.0,0,0,8.05,1,0,1,0
465,3,38.0,0,0,7.05,1,0,1,0
754,2,48.0,1,2,65.0,0,0,1,1
458,2,50.0,0,0,10.5,0,0,1,1
28,3,,0,0,7.8792,0,1,0,1
307,1,17.0,1,0,108.9,0,0,0,1
430,1,28.0,0,0,26.55,1,0,1,1
753,3,23.0,0,0,7.8958,1,0,1,0
272,2,41.0,0,1,19.5,0,0,1,1
240,3,,1,0,14.4542,0,0,0,0
424,3,18.0,1,1,20.2125,1,0,1,0
71,3,16.0,5,2,46.9,0,0,1,0
801,2,31.0,1,1,26.25,0,0,1,1
61,1,38.0,0,0,80.0,0,0,0,1
523,1,44.0,0,1,57.9792,0,0,0,1
62,1,45.0,1,0,83.475,1,0,1,0
693,3,25.0,0,0,7.225,1,0,0,0
333,3,16.0,2,0,18.0,1,0,1,0
408,3,21.0,0,0,7.775,1,0,1,0
102,1,21.0,0,1,77.2875,1,0,1,0
767,3,30.5,0,0,7.75,0,1,0,0
522,3,,0,0,7.225,1,0,0,0
81,3,29.0,0,0,9.5,1,0,1,1
322,2,30.0,0,0,12.35,0,1,0,1
204,3,18.0,0,0,8.05,1,0,1,1
717,2,27.0,0,0,10.5,0,0,1,1
781,1,17.0,1,0,57.0,0,0,1,1
453,1,49.0,1,0,89.1042,1,0,0,1
518,2,36.0,1,0,26.0,0,0,1,1
199,2,24.0,0,0,13.0,0,0,1,0
607,1,27.0,0,0,30.5,1,0,1,1
474,3,22.0,0,0,9.8375,0,0,1,0
82,3,,0,0,7.7875,0,1,0,1
411,3,,0,0,6.8583,1,1,0,0
726,2,30.0,3,0,21.0,0,0,1,1
517,3,,0,0,24.15,1,1,0,0
492,1,55.0,0,0,30.5,1,0,1,0
506,2,33.0,0,2,26.0,0,0,1,1
264,3,,0,0,7.75,0,1,0,0
319,1,40.0,1,1,134.5,0,0,0,1
396,3,31.0,0,0,7.8542,0,0,1,0
1,1,38.0,1,0,71.2833,0,0,0,1
21,2,34.0,0,0,13.0,1,0,1,1
22,3,15.0,0,0,8.0292,0,1,0,1
835,1,39.0,1,1,83.1583,0,0,0,1
719,3,33.0,0,0,7.775,1,0,1,0
126,3,,0,0,7.75,1,1,0,0
629,3,,0,0,7.7333,1,1,0,0
98,2,34.0,0,1,23.0,0,0,1,1
588,3,22.0,0,0,8.05,1,0,1,0
644,3,0.75,2,1,19.2583,0,0,0,1
848,2,28.0,0,1,33.0,1,0,1,0
524,3,,0,0,7.2292,1,0,0,0
149,2,42.0,0,0,13.0,1,0,1,0
470,3,,0,0,7.25,1,0,1,0
779,1,43.0,0,1,211.3375,0,0,1,1
3,1,35.0,1,0,53.1,0,0,1,1
630,1,80.0,0,0,30.0,1,0,1,1
648,3,,0,0,7.55,1,0,1,0
483,3,63.0,0,0,9.5875,0,0,1,1
875,3,15.0,0,0,7.225,0,0,0,1
601,3,,0,0,7.8958,1,0,1,0
505,1,18.0,1,0,108.9,1,0,0,0
597,3,49.0,0,0,0.0,1,0,1,0
42,3,,0,0,7.8958,1,0,0,0
192,3,19.0,1,0,7.8542,0,0,1,1
794,3,25.0,0,0,7.8958,1,0,1,0
415,3,,0,0,8.05,0,0,1,0
246,3,25.0,0,0,7.775,0,0,1,0
821,3,27.0,0,0,8.6625,1,0,1,1
475,1,,0,0,52.0,1,0,1,0
659,1,58.0,0,2,113.275,1,0,0,0
392,3,28.0,2,0,7.925,1,0,1,0
626,2,57.0,0,0,12.35,1,1,0,0
472,2,33.0,1,2,27.75,0,0,1,1
141,3,22.0,0,0,7.75,0,0,1,1
865,2,42.0,0,0,13.0,0,0,1,1
616,3,34.0,1,1,14.4,1,0,1,0
511,3,,0,0,8.05,1,0,1,0
533,3,,0,2,22.3583,0,0,0,1
212,3,22.0,0,0,7.25,1,0,1,0
381,3,1.0,0,2,15.7417,0,0,0,1
110,1,47.0,0,0,52.0,1,0,1,0
446,2,13.0,0,1,19.5,0,0,1,1
859,3,,0,0,7.2292,1,0,0,0
624,3,21.0,0,0,16.1,1,0,1,0
111,3,14.5,1,0,14.4542,0,0,0,0
165,3,9.0,0,2,20.525,1,0,1,1
699,3,42.0,0,0,7.65,1,0,1,0
862,1,48.0,0,0,25.9292,0,0,1,1
363,3,35.0,0,0,7.05,1,0,1,0
179,3,36.0,0,0,0.0,1,0,1,0
563,3,,0,0,8.05,1,0,1,0
463,2,48.0,0,0,13.0,1,0,1,0
146,3,27.0,0,0,7.7958,1,0,1,1
556,1,48.0,1,0,39.6,0,0,0,1
218,1,32.0,0,0,76.2917,0,0,0,1
825,3,,0,0,6.95,1,1,0,0
599,1,49.0,1,0,56.9292,1,0,0,1
155,1,51.0,0,1,61.3792,1,0,0,0
620,3,27.0,1,0,14.4542,1,0,0,0
744,3,31.0,0,0,7.925,1,0,1,1
816,3,23.0,0,0,7.925,0,0,1,0
129,3,45.0,0,0,6.975,1,0,1,0
10,3,4.0,1,1,16.7,0,0,1,1
122,2,32.5,1,0,30.0708,1,0,0,0
623,3,21.0,0,0,7.8542,1,0,1,0
888,3,,1,2,23.45,0,0,1,0
289,3,22.0,0,0,7.75,0,1,0,1
374,3,3.0,3,1,21.075,0,0,1,0
807,3,18.0,0,0,7.775,0,0,1,0
243,3,22.0,0,0,7.125,1,0,1,0
785,3,25.0,0,0,7.25,1,0,1,0
198,3,,0,0,7.75,0,1,0,1
237,2,8.0,0,2,26.25,0,0,1,1
622,3,20.0,1,1,15.7417,1,0,0,1
586,2,47.0,0,0,15.0,1,0,1,0
591,1,52.0,1,0,78.2667,0,0,0,1
367,3,,0,0,7.2292,0,0,0,1
815,1,,0,0,0.0,1,0,1,0
58,2,5.0,1,2,27.75,0,0,1,1
643,3,,0,0,56.4958,1,0,1,1
373,1,22.0,0,0,135.6333,1,0,0,0
260,3,,0,0,7.75,1,1,0,0
431,3,,1,0,16.1,0,0,1,1
339,1,45.0,0,0,35.5,1,0,1,0
355,3,28.0,0,0,9.5,1,0,1,0
604,1,35.0,0,0,26.55,1,0,0,1
857,1,51.0,0,0,26.55,1,0,1,1
545,1,64.0,0,0,26.0,1,0,1,0
398,2,23.0,0,0,10.5,1,0,1,0
673,2,31.0,0,0,13.0,1,0,1,1
242,2,29.0,0,0,10.5,1,0,1,0
692,3,,0,0,56.4958,1,0,1,1
140,3,,0,2,15.2458,0,0,0,0
775,3,18.0,0,0,7.75,1,0,1,0
83,1,28.0,0,0,47.1,1,0,1,0
795,2,39.0,0,0,13.0,1,0,1,0
